COD_PERSONA,SEXO,PROCEDENCIA,RESIDENCIA,ESTADO_CIVIL,TIPO_COLEGIO,JALADOS,APROBADOS,BECA_VIGENTE,CANT_RESERVAS,COD_CURSO,COD_GRUPO,COD_PLAN,CREDITOS,EFICIENCIA_SEMESTRES,EXCESO_INASISTENCIA,HRS_INASISTENCIA,Q1_Nota_S,Q3_Nota_S,Q1_Obligatorio_S,Q3_Obligatorio_S,Q1_Electivo_S,Q3_Electivo_S,PONDERADO,PRCTJE_INASISTENCIA_CURSO,AVANCE_CREDITOS,Dropout,AGE
18,M,local,local,S,private,25,61,0,0,62,86,1,3.662619,2.0,3,3.9790475,10.37225,11.641,10.399125,11.59875,12.065,12.322,11.097971,6.8096533,218,1,25
48,F,local,local,S,private,3,37,0,40,38,40,1,3.7804232,0.9,0,1.6851852,12.025833,14.984445,11.905833,14.632778,16.145,16.145,13.198235,3.0746527,136,0,24
88,F,local,foreign,S,private,6,61,0,67,61,67,1,3.8632653,1.4,4,5.0238094,12.561429,14.175,12.509108,13.876965,14.566,14.566,13.122546,9.034588,218,0,23
93,F,foreign,foreign,S,private,16,61,0,77,61,77,1,3.6859944,1.7,1,4.5907564,12.136911,13.646029,12.082206,13.566618,12.88125,13.04375,12.763761,7.703081,218,0,29
99,M,local,local,S,private,0,61,0,0,61,61,1,3.6019049,1.0,1,2.86,15.19875,16.76,15.2365,16.69175,16.41,16.89,15.985728,5.2216597,218,1,21
100,M,local,local,S,private,0,61,0,0,61,61,1,3.774459,1.1,0,4.064935,14.668181,16.354773,14.687727,16.20341,16.176666,16.55,15.35193,7.0796504,218,1,23
107,M,local,local,C,private,17,61,0,312,61,78,1,3.7943451,1.6,6,5.829762,11.702031,13.917812,11.628906,13.895625,14.1325,14.3225,12.204383,10.611855,218,0,27
145,M,local,local,S,public,37,63,0,100,64,100,1,3.9136906,2.8,9,12.070833,10.716429,12.811518,10.592857,12.572589,12.707,13.473,11.265212,16.276114,226,1,28
161,M,foreign,local,S,public,18,61,0,0,61,79,1,3.7171679,1.9,2,4.4940476,11.431184,12.7978945,11.343947,12.684211,14.733334,15.286667,11.887297,7.3993497,218,0,29
165,M,local,local,S,public,24,61,0,0,61,85,1,3.7125313,1.9,6,5.4350877,10.743027,12.560264,10.608421,12.4921055,12.396875,12.500625,10.898882,9.1933155,218,1,24
