SEXO,PROCEDENCIA,RESIDENCIA,ESTADO_CIVIL,TIPO_COLEGIO,JALADOS,APROBADOS,BECA_VIGENTE,CANT_RESERVAS,COD_CURSO,COD_GRUPO,COD_PLAN,CREDITOS,EFICIENCIA_SEMESTRES,EXCESO_INASISTENCIA,HRS_INASISTENCIA,Q1_Nota_S,Q3_Nota_S,Q1_Obligatorio_S,Q3_Obligatorio_S,Q1_Electivo_S,Q3_Electivo_S,PONDERADO,PRCTJE_INASISTENCIA_CURSO,AVANCE_CREDITOS,AGE,Dropout,COD_PERSONA
M,local,local,S,private,25.0,61.0,2,0.0,62.0,86.0,1.0,3.662619113922119,2.0,3.0,3.9790475368499756,10.372249603271484,13.9,10.399125099182129,11.598750114440918,12.0649995803833,12.321999549865723,11.097970962524414,6.809653282165527,218.0,25.0,0,18
M,local,foreign,S,private,25.0,61.0,0,0.0,62.0,86.0,1.0,3.662619113922119,2.0,3.0,3.9790475368499756,10.372249603271484,7.8,10.399125099182129,11.598750114440918,12.0649995803833,12.321999549865723,11.097970962524414,6.809653282165527,218.0,25.0,0,18
M,local,foreign,S,private,25.0,61.0,0,0.0,62.0,86.0,1.0,2.9391393,2.0,3.0,3.9790475368499756,10.372249603271484,11.640999794006348,10.399125099182129,11.598750114440918,12.0649995803833,12.321999549865723,11.097970962524414,6.809653282165527,218.0,25.0,0,18
M,local,foreign,S,private,25.0,61.0,0,0.0,62.0,86.0,1.0,3.662619113922119,2.0,3.0,3.9790475368499756,10.372249603271484,11.640999794006348,10.399125099182129,7.3,12.0649995803833,12.321999549865723,11.097970962524414,6.809653282165527,218.0,25.0,0,18
M,local,local,S,private,25.0,61.0,1,0.0,62.0,86.0,1.0,3.662619113922119,2.0,3.0,3.9790475368499756,10.372249603271484,11.640999794006348,10.399125099182129,17.5,12.0649995803833,12.321999549865723,11.097970962524414,6.809653282165527,218.0,25.0,0,18
F,local,local,S,private,0.0,61.0,0,0.0,61.0,61.0,1.0,3.60190486907959,1.0,1.0,2.859999895095825,15.198749542236328,16.760000228881836,15.236499786376953,16.691749572753906,16.40999984741211,16.889999389648438,15.98572826385498,53.2,218.0,21.0,0,99
M,local,local,S,private,0.0,61.0,2,0.0,61.0,61.0,1.0,3.60190486907959,1.0,1.0,2.859999895095825,15.198749542236328,16.760000228881836,14.6,16.691749572753906,16.40999984741211,16.889999389648438,15.98572826385498,5.2216596603393555,218.0,21.0,0,99
M,local,foreign,S,private,28.0,61.0,0,0.0,61.0,61.0,1.0,3.60190486907959,1.0,1.0,2.859999895095825,15.198749542236328,16.760000228881836,15.236499786376953,16.691749572753906,16.40999984741211,16.889999389648438,15.98572826385498,5.2216596603393555,218.0,21.0,0,99
M,local,foreign,S,private,0.0,61.0,0,0.0,61.0,61.0,1.0,3.60190486907959,1.0,1.0,2.859999895095825,15.198749542236328,16.760000228881836,15.200000000000001,16.691749572753906,16.40999984741211,16.889999389648438,15.98572826385498,5.2216596603393555,218.0,21.0,0,99
M,local,local,S,private,0.0,61.0,2,0.0,61.0,61.0,1.0,3.60190486907959,1.0,1.0,2.859999895095825,15.198749542236328,16.760000228881836,15.236499786376953,16.691749572753906,16.40999984741211,16.889999389648438,15.98572826385498,55.4,218.0,21.0,0,99
M,local,foreign,S,private,0.0,61.0,0,410.0,61.0,61.0,1.0,3.774458885192871,1.100000023841858,0.0,4.064935207366943,14.668181419372559,16.354772567749023,14.687726974487305,16.20340919494629,16.176666259765625,16.549999237060547,15.351929664611816,7.079650402069092,218.0,23.0,0,100
M,local,local,S,private,0.0,61.0,1,0.0,61.0,88.0,1.0,3.774458885192871,1.100000023841858,0.0,4.064935207366943,14.668181419372559,16.354772567749023,14.687726974487305,16.20340919494629,16.176666259765625,16.549999237060547,15.351929664611816,7.079650402069092,218.0,23.0,0,100
M,local,local,C,private,0.0,61.0,0,0.0,61.0,61.0,1.0,3.774458885192871,1.100000023841858,0.0,4.064935207366943,14.668181419372559,16.354772567749023,14.687726974487305,16.20340919494629,16.176666259765625,16.549999237060547,15.351929664611816,7.079650402069092,218.0,13.0,0,100
M,local,local,C,private,0.0,61.0,0,0.0,61.0,61.0,1.0,3.6216716,1.100000023841858,0.0,4.064935207366943,14.668181419372559,16.354772567749023,14.687726974487305,16.20340919494629,16.176666259765625,16.549999237060547,15.351929664611816,7.079650402069092,218.0,23.0,0,100
M,local,foreign,S,private,0.0,61.0,0,0.0,61.0,61.0,1.0,3.774458885192871,1.100000023841858,0.0,4.064935207366943,14.668181419372559,13.4,14.687726974487305,16.20340919494629,16.176666259765625,16.549999237060547,15.351929664611816,7.079650402069092,218.0,23.0,0,100
M,local,foreign,S,public,37.0,63.0,0,100.0,64.0,100.0,1.0,3.9136905670166016,1.4,9.0,12.070833206176758,10.716428756713867,12.811517715454102,10.592857360839844,12.572588920593262,12.706999778747559,13.472999572753906,11.265212059020996,16.276113510131836,226.0,28.0,0,145
M,local,local,C,private,37.0,63.0,0,100.0,64.0,100.0,1.0,3.9136905670166016,2.799999952316284,9.0,12.070833206176758,10.716428756713867,12.811517715454102,10.592857360839844,12.572588920593262,12.706999778747559,13.472999572753906,11.265212059020996,16.276113510131836,226.0,28.0,0,145
M,local,foreign,S,public,37.0,63.0,0,100.0,64.0,100.0,1.0,3.9136905670166016,2.799999952316284,9.0,12.070833206176758,10.716428756713867,12.811517715454102,10.592857360839844,6.5,12.706999778747559,13.472999572753906,11.265212059020996,16.276113510131836,226.0,28.0,0,145
M,foreign,local,S,public,37.0,63.0,0,100.0,64.0,100.0,1.0,3.9136905670166016,2.799999952316284,9.0,12.070833206176758,10.716428756713867,12.811517715454102,10.592857360839844,12.572588920593262,12.706999778747559,13.472999572753906,11.265212059020996,16.276113510131836,226.0,28.0,0,145
M,foreign,local,S,public,37.0,63.0,0,752.0,64.0,100.0,1.0,3.9136905670166016,2.799999952316284,9.0,12.070833206176758,10.716428756713867,12.811517715454102,10.592857360839844,12.572588920593262,12.706999778747559,13.472999572753906,11.265212059020996,16.276113510131836,226.0,28.0,0,145
