COD_PERSONA,SEXO,PROCEDENCIA,RESIDENCIA,ESTADO_CIVIL,TIPO_COLEGIO,JALADOS,APROBADOS,BECA_VIGENTE,CANT_RESERVAS,COD_CURSO,COD_GRUPO,COD_PLAN,CREDITOS,EFICIENCIA_SEMESTRES,EXCESO_INASISTENCIA,HRS_INASISTENCIA,Q1_Nota_S,Q3_Nota_S,Q1_Obligatorio_S,Q3_Obligatorio_S,Q1_Electivo_S,Q3_Electivo_S,PONDERADO,PRCTJE_INASISTENCIA_CURSO,AVANCE_CREDITOS,Dropout,AGE
36719,M,local,local,S,private,7,27,0,0,28,34,1,3.774074,2.5,0,3.9444444,12.931945,14.008056,13.057222,13.939722,12.105,12.105,12.49498,5.7612457,95,0,21
37521,F,local,local,S,private,7,18,0,0,20,25,1,3.5392857,2.5,1,5.6845236,11.14,14.09625,11.104375,14.15375,14.035,14.035,12.120392,6.7843137,60,0,19
26436,M,local,local,S,private,17,48,0,0,49,65,1,3.2996032,1.625,10,16.47857,11.04,13.980833,11.043125,13.898334,11.815,11.815,12.266326,19.506788,167,0,22
8159,F,local,local,S,public,22,66,0,88,66,88,1,3.4469924,1.9,1,10.675063,11.5546055,13.045263,11.427631,12.988027,14.146667,14.146667,12.001704,13.436943,222,0,25
41132,M,foreign,local,S,private,4,9,0,0,11,13,1,3.6785715,3.0,0,0.0,9.37875,14.91375,8.385,14.595,14.76,14.76,12.398539,0.0,30,0,17
22967,F,local,local,S,private,6,65,0,0,66,71,1,3.27517,1.5,1,10.655102,12.917857,15.115892,12.869286,15.176607,14.391666,14.391666,14.575324,14.979287,217,0,23
26433,M,local,local,S,private,0,67,0,0,66,67,1,3.3556278,1.1,0,6.0126624,14.6334095,16.351137,14.659546,16.182955,15.905625,16.381874,15.435064,8.705005,223,0,22
29151,M,local,local,S,public,7,58,0,0,57,65,1,3.632313,1.875,0,7.0642858,12.260535,14.286607,12.202857,14.180179,15.9625,16.3275,12.967292,7.867204,193,0,26
33099,M,local,local,S,private,4,48,0,0,50,52,1,3.4,1.5714285,0,2.4642856,13.517,14.73175,13.48575,14.69425,14.865,14.865,13.82321,2.3363156,162,0,20
37042,F,local,local,S,private,0,25,1,0,25,25,1,3.4940476,1.0,0,0.125,16.389376,18.358126,16.12,18.188126,18.865,18.865,17.005224,0.23529412,87,0,18
40862,M,foreign,local,S,private,0,6,0,6,6,6,1,3.6666667,0.5,0,0.0,14.8525,16.3775,14.8525,16.3775,14.8525,16.3775,15.3845,0.0,22,0,18
36172,M,local,local,S,public,2,25,0,27,24,27,1,3.8809524,1.6,0,1.4047619,13.3175,14.3475,13.271786,14.356428,11.94,11.94,13.093719,1.8010167,90,0,19
409,M,local,local,S,private,24,61,0,0,61,85,1,3.9512472,2.1,7,5.684014,12.038452,13.625714,11.801905,13.551905,15.0125,15.1775,11.64144,11.318115,218,0,24
