SEXO,PROCEDENCIA,RESIDENCIA,ESTADO_CIVIL,TIPO_COLEGIO,JALADOS,APROBADOS,BECA_VIGENTE,CANT_RESERVAS,COD_CURSO,COD_GRUPO,COD_PLAN,CREDITOS,EFICIENCIA_SEMESTRES,EXCESO_INASISTENCIA,HRS_INASISTENCIA,Q1_Nota_S,Q3_Nota_S,Q1_Obligatorio_S,Q3_Obligatorio_S,Q1_Electivo_S,Q3_Electivo_S,PONDERADO,PRCTJE_INASISTENCIA_CURSO,AVANCE_CREDITOS,AGE,Dropout,COD_PERSONA
M,local,local,S,private,7.0,6.0,1,0.0,8.0,13.0,1.0,3.8222222328186035,3.0,0.0,5.866666793823242,10.025833129882812,14.5,10.025833129882812,12.896666526794434,10.025833129882812,12.896666526794434,10.88450813293457,7.601809978485107,20.0,18.0,0,25271
M,local,foreign,S,private,7.0,6.0,0,0.0,8.0,13.0,1.0,3.8222222328186035,3.0,7.0,5.866666793823242,10.025833129882812,12.896666526794434,10.025833129882812,12.896666526794434,10.025833129882812,12.896666526794434,10.88450813293457,7.601809978485107,20.0,18.0,0,25271
M,local,foreign,S,private,7.0,6.0,0,0.0,8.0,13.0,1.0,3.8222222328186035,3.0,0.0,5.866666793823242,10.025833129882812,2.2,10.025833129882812,12.896666526794434,10.025833129882812,12.896666526794434,10.88450813293457,7.601809978485107,20.0,18.0,0,25271
M,local,foreign,S,private,7.0,6.0,0,0.0,8.0,13.0,1.0,3.8222222328186035,3.0,0.0,5.866666793823242,10.025833129882812,12.896666526794434,10.025833129882812,12.896666526794434,10.025833129882812,12.896666526794434,0.5,7.601809978485107,20.0,18.0,0,25271
M,local,local,S,private,7.0,6.0,2,0.0,8.0,13.0,1.0,3.8222222328186035,2.8,0.0,5.866666793823242,10.025833129882812,12.896666526794434,10.025833129882812,12.896666526794434,10.025833129882812,12.896666526794434,10.88450813293457,7.601809978485107,20.0,18.0,0,25271
M,local,local,S,private,4.0,3.0,1,0.0,7.0,7.0,1.0,3.857142925262451,1.0,0.0,12.857142448425293,12.3,14.595000267028809,9.074999809265137,14.595000267028809,9.074999809265137,14.595000267028809,11.374099731445312,16.386554718017578,11.0,19.0,0,13815
M,local,local,S,private,4.0,3.0,1,0.0,7.0,7.0,1.0,3.857142925262451,1.0,0.0,12.857142448425293,9.074999809265137,14.595000267028809,9.074999809265137,14.595000267028809,9.074999809265137,14.595000267028809,11.374099731445312,16.386554718017578,159.0,19.0,0,13815
M,local,local,S,private,4.0,3.0,2,0.0,7.0,7.0,1.0,3.857142925262451,1.0,0.0,12.857142448425293,9.074999809265137,19.0,9.074999809265137,14.595000267028809,9.074999809265137,14.595000267028809,11.374099731445312,16.386554718017578,11.0,19.0,0,13815
M,local,local,S,private,4.0,3.0,1,0.0,7.0,7.0,1.0,3.1111732,1.0,0.0,12.857142448425293,9.074999809265137,14.595000267028809,9.074999809265137,14.595000267028809,9.074999809265137,14.595000267028809,11.374099731445312,16.386554718017578,11.0,19.0,0,13815
M,local,foreign,S,private,4.0,3.0,0,0.0,7.0,7.0,1.0,3.857142925262451,1.0,0.0,30.2,9.074999809265137,14.595000267028809,9.074999809265137,14.595000267028809,9.074999809265137,14.595000267028809,11.374099731445312,16.386554718017578,11.0,19.0,0,13815
M,local,local,C,private,41.0,19.0,0,210.0,34.0,60.0,3.0,3.346874952316284,4.208333492279053,26.0,18.6,4.623125076293945,8.53531265258789,5.071718692779541,8.429218292236328,7.0980000495910645,7.0980000495910645,5.81053352355957,27.897876739501953,61.0,37.0,0,8342
M,local,foreign,S,private,41.0,19.0,0,210.0,34.0,60.0,3.0,3.346874952316284,4.208333492279053,26.0,20.030208587646484,4.623125076293945,8.53531265258789,5.071718692779541,8.429218292236328,7.0980000495910645,7.0980000495910645,5.81053352355957,51.3,61.0,37.0,0,8342
M,local,local,C,private,41.0,19.0,0,210.0,34.0,60.0,3.0,3.346874952316284,4.208333492279053,26.0,20.030208587646484,4.623125076293945,8.53531265258789,5.071718692779541,8.429218292236328,7.0980000495910645,7.1,5.81053352355957,27.897876739501953,61.0,37.0,0,8342
M,local,foreign,S,private,41.0,19.0,0,210.0,34.0,60.0,3.0,3.346874952316284,4.208333492279053,26.0,20.030208587646484,4.623125076293945,8.53531265258789,5.071718692779541,8.429218292236328,7.0980000495910645,10.5,5.81053352355957,27.897876739501953,61.0,37.0,0,8342
M,local,local,S,private,41.0,19.0,1,210.0,34.0,60.0,3.0,3.346874952316284,4.208333492279053,26.0,20.030208587646484,4.623125076293945,8.53531265258789,5.071718692779541,8.429218292236328,7.0980000495910645,7.0980000495910645,5.81053352355957,27.897876739501953,61.0,37.0,0,8342
M,local,local,S,private,6.0,0.0,1,6.0,6.0,6.0,1.0,3.6666667461395264,1.0,5.0,26.33333396911621,1.8899999856948853,3.4124999046325684,1.8899999856948853,3.4124999046325684,1.8899999856948853,3.4124999046325684,2.7818000316619873,36.94444274902344,106.0,19.0,0,2597
M,local,local,S,private,6.0,0.0,2,6.0,6.0,6.0,1.0,3.6666667461395264,1.0,5.0,26.33333396911621,1.8899999856948853,3.4124999046325684,1.8899999856948853,3.4124999046325684,1.8899999856948853,4.4,2.7818000316619873,36.94444274902344,0.0,19.0,0,2597
M,local,local,S,private,6.0,0.0,1,6.0,6.0,6.0,1.0,3.6666667461395264,1.0,5.0,26.33333396911621,3.7,3.4124999046325684,1.8899999856948853,3.4124999046325684,1.8899999856948853,3.4124999046325684,2.7818000316619873,36.94444274902344,0.0,19.0,0,2597
M,local,local,S,private,6.0,0.0,2,6.0,6.0,6.0,1.0,3.6666667461395264,1.0,0.0,26.33333396911621,1.8899999856948853,3.4124999046325684,1.8899999856948853,3.4124999046325684,1.8899999856948853,3.4124999046325684,2.7818000316619873,36.94444274902344,0.0,19.0,0,2597
M,local,local,S,private,6.0,0.0,2,6.0,6.0,6.0,1.0,3.6666667461395264,1.0,5.0,26.33333396911621,1.8899999856948853,3.4124999046325684,1.8899999856948853,3.4124999046325684,1.8899999856948853,9.3,2.7818000316619873,36.94444274902344,0.0,19.0,0,2597
M,foreign,local,C,private,8.0,4.0,0,0.0,9.0,12.0,1.0,4.288888931274414,3.0,0.0,0.0,4.900000095367432,6.504166603088379,4.900000095367432,6.504166603088379,4.900000095367432,6.504166603088379,7.810208320617676,68.9,12.0,18.0,0,659
M,foreign,local,S,private,8.0,4.0,1,0.0,9.0,12.0,1.0,3.5307302,3.0,0.0,0.0,4.900000095367432,6.504166603088379,4.900000095367432,6.504166603088379,4.900000095367432,6.504166603088379,7.810208320617676,0.0,12.0,18.0,0,659
M,foreign,local,S,private,8.0,4.0,1,0.0,9.0,12.0,1.0,4.288888931274414,3.0,0.0,0.0,4.900000095367432,6.504166603088379,4.900000095367432,6.504166603088379,4.900000095367432,6.504166603088379,7.810208320617676,0.0,112.0,18.0,0,659
