COD_PERSONA,SEXO,PROCEDENCIA,RESIDENCIA,ESTADO_CIVIL,TIPO_COLEGIO,JALADOS,APROBADOS,BECA_VIGENTE,CANT_RESERVAS,COD_CURSO,COD_GRUPO,COD_PLAN,CREDITOS,EFICIENCIA_SEMESTRES,EXCESO_INASISTENCIA,HRS_INASISTENCIA,Q1_Nota_S,Q3_Nota_S,Q1_Obligatorio_S,Q3_Obligatorio_S,Q1_Electivo_S,Q3_Electivo_S,PONDERADO,PRCTJE_INASISTENCIA_CURSO,AVANCE_CREDITOS,Dropout,AGE
18,M,local,local,S,private,25,61,0,0,62,86,1,3.662619047619047,2.0,3,3.9790476190476185,10.37225,11.640999999999998,10.399125000000002,11.59875,12.065,12.322,11.097970930232565,6.809653189441152,218,0,25
27,F,local,local,S,private,20,37,0,57,45,57,1,3.827272727272728,1.833333333333332,3,5.5064935064935066,10.586136363636363,13.267045454545455,10.59886363636364,12.81409090909091,12.5,12.5,11.418678947368427,9.30347723884876,133,1,24
32,M,local,local,S,private,29,41,0,350,45,70,1,3.8443452380952383,2.6666666666666647,10,13.769494047619045,9.5996875,12.19046875,9.711249999999998,11.662343749999998,11.5385,12.0955,10.440950000000008,19.21595860566449,140,1,26
34,F,local,local,S,private,15,54,0,0,56,69,1,3.722222222222223,1.524959742351048,2,9.361904761904762,11.219833333333336,12.946166666666665,11.136833333333335,12.9335,13.666875,13.735625,12.687273913043489,12.713671418647973,188,1,22
48,F,local,local,S,private,3,37,0,40,38,40,1,3.780423280423281,0.8999999999999992,0,1.6851851851851851,12.025833333333335,14.984444444444444,11.905833333333332,14.632777777777774,16.145,16.145,13.198235000000004,3.0746527777777777,136,0,24
57,M,foreign,local,S,private,69,63,0,0,64,132,2,3.7575630252100836,2.28327922077922,15,13.782072829131653,8.970588235294116,11.746323529411766,8.92051470588235,11.699117647058824,12.357499999999998,12.357499999999998,9.629634090909096,16.952243018419487,222,1,35
62,M,foreign,local,S,private,11,58,0,414,61,69,1,3.59421768707483,1.5555555555555567,4,4.071428571428571,11.1725,12.92392857142857,11.18125,12.87910714285714,13.476,13.476,12.491002898550727,5.424629392819929,205,1,28
74,F,local,local,S,public,22,29,0,0,36,51,1,4.0372294372294375,2.200000000000001,3,7.616666666666666,10.398181818181817,12.732727272727272,10.398181818181817,12.732727272727272,10.398181818181817,12.732727272727272,10.917384313725488,11.443755606817891,109,1,22
83,M,local,local,S,private,5,14,0,0,17,19,1,3.6857142857142855,1.5,0,0.0,10.786666666666667,13.85,10.786666666666667,13.85,10.786666666666667,13.85,11.9186,0.0,49,1,20
88,F,local,foreign,S,private,6,61,0,67,61,67,1,3.863265306122449,1.4000000000000012,4,5.023809523809524,12.561428571428571,14.175,12.509107142857143,13.876964285714285,14.566,14.566,13.122546268656723,9.03458808896693,218,0,23
