SEXO,PROCEDENCIA,RESIDENCIA,ESTADO_CIVIL,TIPO_COLEGIO,JALADOS,APROBADOS,BECA_VIGENTE,CANT_RESERVAS,COD_CURSO,COD_GRUPO,COD_PLAN,CREDITOS,EFICIENCIA_SEMESTRES,EXCESO_INASISTENCIA,HRS_INASISTENCIA,Q1_Nota_S,Q3_Nota_S,Q1_Obligatorio_S,Q3_Obligatorio_S,Q1_Electivo_S,Q3_Electivo_S,PONDERADO,PRCTJE_INASISTENCIA_CURSO,AVANCE_CREDITOS,AGE,Dropout,COD_PERSONA
F,local,local,S,private,20.0,37.0,2,57.0,45.0,57.0,1.0,3.827272653579712,1.8333333730697632,3.0,5.50649356842041,10.586136817932129,18.7,10.59886360168457,12.814090728759766,12.5,12.5,11.418679237365723,9.30347728729248,133.0,24.0,0,27
F,local,local,S,private,20.0,37.0,2,57.0,45.0,57.0,1.0,3.827272653579712,1.8333333730697632,3.0,5.50649356842041,10.586136817932129,13.267045021057129,10.59886360168457,17.5,12.5,12.5,11.418679237365723,9.30347728729248,133.0,24.0,0,27
F,local,local,S,private,8.0,37.0,1,57.0,45.0,57.0,1.0,3.827272653579712,1.8333333730697632,3.0,5.50649356842041,10.586136817932129,13.267045021057129,10.59886360168457,12.814090728759766,12.5,12.5,11.418679237365723,9.30347728729248,133.0,24.0,0,27
F,local,local,S,private,20.0,54.0,1,57.0,45.0,57.0,1.0,3.827272653579712,1.8333333730697632,3.0,5.50649356842041,10.586136817932129,13.267045021057129,10.59886360168457,12.814090728759766,12.5,12.5,11.418679237365723,9.30347728729248,133.0,24.0,0,27
F,local,local,S,private,20.0,73.0,2,57.0,45.0,57.0,1.0,3.827272653579712,1.8333333730697632,3.0,5.50649356842041,10.586136817932129,13.267045021057129,10.59886360168457,12.814090728759766,12.5,12.5,11.418679237365723,9.30347728729248,133.0,24.0,0,27
M,local,local,S,private,29.0,41.0,1,350.0,45.0,123.0,1.0,3.8443453311920166,2.6666667461395264,10.0,13.76949405670166,9.599687576293945,12.190468788146973,9.711250305175781,11.662343978881836,11.53849983215332,12.095499992370605,10.440950393676758,19.215959548950195,140.0,26.0,0,32
M,local,local,S,private,29.0,41.0,1,350.0,28.0,70.0,1.0,3.8443453311920166,2.6666667461395264,10.0,13.76949405670166,9.599687576293945,12.190468788146973,9.711250305175781,11.662343978881836,11.53849983215332,12.095499992370605,10.440950393676758,19.215959548950195,140.0,26.0,0,32
M,local,local,S,private,29.0,41.0,1,350.0,45.0,70.0,1.0,3.8443453311920166,2.6666667461395264,10.0,13.76949405670166,9.599687576293945,12.190468788146973,9.711250305175781,2.8,11.53849983215332,12.095499992370605,10.440950393676758,19.215959548950195,140.0,26.0,0,32
M,local,local,S,private,29.0,41.0,1,350.0,45.0,70.0,1.0,3.8443453311920166,2.6666667461395264,10.0,13.76949405670166,9.599687576293945,12.190468788146973,9.711250305175781,11.662343978881836,11.53849983215332,12.095499992370605,0.6,19.215959548950195,140.0,26.0,0,32
M,local,local,S,private,29.0,41.0,2,350.0,45.0,70.0,1.0,3.8443453311920166,2.6666667461395264,10.0,13.76949405670166,9.599687576293945,12.190468788146973,9.711250305175781,11.662343978881836,11.53849983215332,12.095499992370605,10.440950393676758,19.215959548950195,140.0,26.0,0,32
F,local,local,S,private,15.0,54.0,2,0.0,56.0,69.0,1.0,2.2872189,1.524959683418274,2.0,9.361905097961426,11.219833374023438,12.9461669921875,11.136833190917969,12.933500289916992,13.666874885559082,13.735625267028809,12.687273979187012,12.713671684265137,188.0,22.0,0,34
F,local,local,S,private,15.0,54.0,1,0.0,56.0,69.0,1.0,3.722222328186035,1.524959683418274,2.0,9.361905097961426,11.219833374023438,12.9461669921875,11.136833190917969,12.933500289916992,12.6,13.735625267028809,12.687273979187012,12.713671684265137,188.0,22.0,0,34
F,local,local,S,private,15.0,54.0,2,0.0,56.0,69.0,1.0,3.722222328186035,1.524959683418274,2.0,48.0,11.219833374023438,12.9461669921875,11.136833190917969,12.933500289916992,13.666874885559082,13.735625267028809,12.687273979187012,12.713671684265137,188.0,22.0,0,34
F,local,local,S,private,15.0,54.0,1,0.0,56.0,69.0,1.0,3.722222328186035,3.5,2.0,9.361905097961426,11.219833374023438,12.9461669921875,11.136833190917969,12.933500289916992,13.666874885559082,13.735625267028809,12.687273979187012,12.713671684265137,188.0,22.0,0,34
F,local,local,S,private,15.0,54.0,2,0.0,56.0,69.0,1.0,3.722222328186035,1.524959683418274,2.0,9.361905097961426,11.219833374023438,7.7,11.136833190917969,12.933500289916992,13.666874885559082,13.735625267028809,12.687273979187012,12.713671684265137,188.0,22.0,0,34
M,foreign,local,S,private,69.0,63.0,2,0.0,64.0,132.0,2.0,3.7575631141662598,2.2832791805267334,15.0,13.782073020935059,8.970588684082031,11.746323585510254,8.920515060424805,11.699117660522461,12.357500076293945,12.357500076293945,9.629633903503418,16.95224380493164,125.0,35.0,0,57
M,foreign,local,S,private,69.0,63.0,2,0.0,64.0,132.0,2.0,3.7575631141662598,2.2832791805267334,15.0,13.782073020935059,12.8,11.746323585510254,8.920515060424805,11.699117660522461,12.357500076293945,12.357500076293945,9.629633903503418,16.95224380493164,222.0,35.0,0,57
M,foreign,local,S,private,69.0,63.0,2,0.0,64.0,132.0,2.0,3.7575631141662598,2.2832791805267334,15.0,13.782073020935059,8.970588684082031,11.746323585510254,8.920515060424805,11.699117660522461,12.357500076293945,12.357500076293945,9.629633903503418,16.95224380493164,222.0,35.0,0,57
M,foreign,local,S,private,69.0,63.0,2,0.0,64.0,132.0,2.0,3.7575631141662598,2.2832791805267334,15.0,13.782073020935059,10.3,11.746323585510254,8.920515060424805,11.699117660522461,12.357500076293945,12.357500076293945,9.629633903503418,16.95224380493164,222.0,35.0,0,57
M,foreign,local,S,private,69.0,63.0,2,0.0,64.0,132.0,2.0,3.7575631141662598,2.2832791805267334,15.0,10.8,8.970588684082031,11.746323585510254,8.920515060424805,11.699117660522461,12.357500076293945,12.357500076293945,9.629633903503418,16.95224380493164,222.0,35.0,0,57
M,foreign,local,S,private,11.0,58.0,1,414.0,61.0,69.0,1.0,2.5403164,1.5555555820465088,4.0,4.0714287757873535,11.172499656677246,12.923928260803223,11.181249618530273,12.879107475280762,13.47599983215332,13.47599983215332,12.491003036499023,5.424629211425781,205.0,28.0,0,62
